Species	Priority	N_act	N_compl	N_partc	N_oncur	N_nocur	N_nostr	N_obsol	N_disco	Total	Threat_allev	Improve_demo	Listing_chng	five.yr_revw	listing_date	act_recov_pl	priority_num	tot_act_comp	pct_act_comp	Comments	time_listed	time_plans	time_review	status_cat	combo_score	priority_conflict
Tidewater Goby	3	8	0	0	5	0	3	0	0	34	1	0.5	E-->T	9/28/07	2/4/94	12/7/05	7	0	0.00%	0.00%	7770	3446	2786	Improve	1.5	C
Topeka Shiner	1	NA	NA	NA	NA	NA	NA	NA	NA	0	0.5	1	E-->T	1/22/10	12/15/98	NA	8	0	NDIV/0!	NVALUE!	5995	NA	1939	Improve	1.5	C
Topeka Shiner	2	NA	NA	NA	NA	NA	NA	NA	NA	0	0.5	1	E-->T	1/22/10	12/15/98	NA	8	0	NDIV/0!	NVALUE!	5995	NA	1939	Improve	1.5	C
Topeka Shiner	3	NA	NA	NA	NA	NA	NA	NA	NA	0	0.5	1	E-->T	1/22/10	12/15/98	NA	8	0	NDIV/0!	NVALUE!	5995	NA	1939	Improve	1.5	C
Uncompahgre Fritillary Butterfly	1	5	0	0	5	0	0	0	0	22	1	1	E-->T	1/5/10	6/24/91	3/17/94	14	5	22.73%	0.00%	8726	7729	1956	Improve	2	
Uncompahgre Fritillary Butterfly	2	11	3	1	3	0	0	2	2	22	1	1	E-->T	1/5/10	6/24/91	3/17/94	14	5	22.73%	0.00%	8726	7729	1956	Improve	2	
Uncompahgre Fritillary Butterfly	3	6	2	0	1	0	0	3	0	22	1	1	E-->T	1/5/10	6/24/91	3/17/94	14	5	22.73%	0.00%	8726	7729	1956	Improve	2	
Valley Elderberry Longhorn Beetle	1	6	0	0	1	2	0	3	0	32	1	0.5	T-->R	9/26/06	8/8/80	6/28/84	2	0	0.00%	0.00%	12698	11278	3153	Improve	1.5	
Valley Elderberry Longhorn Beetle	2	10	0	4	4	0	1	1	0	32	1	0.5	T-->R	9/26/06	8/8/80	6/28/84	2	0	0.00%	0.00%	12698	11278	3153	Improve	1.5	
Valley Elderberry Longhorn Beetle	3	16	0	7	3	0	2	4	0	32	1	0.5	T-->R	9/26/06	8/8/80	6/28/84	2	0	0.00%	0.00%	12698	11278	3153	Improve	1.5	
Virgin Islands Tree Boa	1	0	0	0	0	0	0	0	0	28	1	1	E-->T	8/14/09	10/13/70	3/27/86	9	1	3.57%	NDIV/0!	16285	10641	2100	Improve	2	C
Virgin Islands Tree Boa	2	20	0	4	6	7	3	0	0	28	1	1	E-->T	8/14/09	10/13/70	3/27/86	9	1	3.57%	NDIV/0!	16285	10641	2100	Improve	2	C
Virgin Islands Tree Boa	3	8	1	0	0	4	3	0	0	28	1	1	E-->T	8/14/09	10/13/70	3/27/86	9	1	3.57%	NDIV/0!	16285	10641	2100	Improve	2	C
Virginia Northern Flying Squirrel	1	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	E-->R	5/19/06	7/1/87	NA	15	0	NDIV/0!	NVALUE!	10180	NA	3283	Improve	1	
Virginia Northern Flying Squirrel	2	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	E-->R	5/19/06	7/1/87	NA	15	0	NDIV/0!	NVALUE!	10180	NA	3283	Improve	1	
Virginia Northern Flying Squirrel	3	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	E-->R	5/19/06	7/1/87	NA	15	0	NDIV/0!	NVALUE!	10180	NA	3283	Improve	1	
